Cas,N,Erreur L-infini,Ordre de convergence
sin(πx),10,0.008265416966228623,
sin(πx),20,0.002058706764533458,2.0053492492843814
sin(πx),40,0.0005142004781446552,2.0013354950168836
sin(πx),80,0.0001285203835375004,2.00033376040803
sin(πx),160,3.212823779996654e-05,2.0000834335099835
sin(πx),320,8.031943386388463e-06,2.000020847155772
sin(πx),Ordre moyen,,2.00142455707501

x³,10,0.7680000000000001,
x³,20,0.768,1.6017132519074596e-16
x³,40,0.7697812499999944,-0.003342220086102077
x³,80,0.7697812499999983,-7.287795296178941e-15
x³,160,0.7697812499999932,9.610279511444751e-15
x³,320,0.7697982788086436,-3.1914399137535624e-05
x³,Ordre moyen,,-0.000674826897047426
